tabla,campo,campo_original,descripcion,tipo_dato,unidad_o_formato,valores_posibles,registros,valores_faltantes,pct_faltantes,codigo_faltante_conocido
siniestros,caracteristicas_via,CARACTERÍSTICAS DE VÍA,"Geometria del tramo: recto, curva, interseccion, etc.",texto,Categoria,CURVA | INTERSECCIÓN | OTRO | PASE A DESNIVEL | PUENTE | SINUOSA | TRAMO RECTO | TÚNEL | ÓVALO,9106,423,4.6,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,perfil_longitudinal_via,PERFIL LONGITUDINAL VÍA,Pendiente del tramo: plana o inclinada.,texto,Categoria,INCLINADA | PLANA ,9106,424,4.7,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,superficie_calzada,SUPERFICIE DE CALZADA,Material de la superficie de rodadura.,texto,Categoria,ADOQUINADO | AFIRMADO | ASFALTADA | CASCAJO/RIPIO | CONCRETO | EMPEDRADO | TROCHA,9106,423,4.6,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,existe_senal_vertical,¿EXISTE SEÑAL VERTICAL?,Si el tramo cuenta con senalizacion vertical.,texto,Categoria,NO | SI,9106,7090,77.9,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,clasificacion_senal_vertical_1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,Tipo de la primera senal vertical presente.,texto,Categoria,INFORMATIVA (I) | PREVENTIVA (P) | REGULADORA (R),9106,7790,85.5,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,clasificacion_senal_vertical_2,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,Tipo de la segunda senal vertical presente.,texto,Categoria,INFORMATIVA (I) | PREVENTIVA (P) | REGULADORA (R),9106,8572,94.1,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,existe_senal_horizontal,¿EXISTE SEÑAL HORIZONTAL?,Si el tramo cuenta con senalizacion horizontal (marcas en calzada).,texto,Categoria,NO | SI,9106,7090,77.9,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,causa_factor_principal,CAUSA FACTOR PRINCIPAL,Factor causal principal atribuido por la PNP. Mayoritariamente sin determinar.,texto,Categoria,EN PROCESO DE INVESTIGACIÓN | IMPERICIA DEL CONDUCTOR | IMPRUDENCIA DEL CONDUCTOR | IMPRUDENCIA DEL PASAJERO/OCUPANTE | IMPRUDENCIA DEL PEATÓN | INFRAESTRUCTURA Y ENTORNO VIAL | NEGLIGENCIA DEL CONDUCTOR,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,causa_especifica,CAUSA ESPECÍFICA,Detalle de la causa dentro del factor principal.,texto,Categoria,38 valores distintos,9106,82,0.9,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
siniestros,hora_del_dia,(derivada de HORA SINIESTRO),"Hora del dia derivada de hora_siniestro. Columna calculada, no viene en la fuente.",entero,Entero 0-23,rango 0 a 23,9106,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,codigo_siniestro,CÓDIGO SINIESTRO,Siniestro al que pertenece el vehiculo. Llave foranea a siniestros.csv.,texto,Identificador,9106 valores distintos,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,codigo_vehiculo,CÓDIGO VEHICULO,Identificador unico del vehiculo involucrado. Llave primaria. Formato V-AAAA-MM-N-K.,texto,Identificador,12667 valores distintos,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,departamento,DEPARTAMENTO,Departamento del siniestro. Redundante con siniestros.csv.,texto,Categoria,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PASCO | PIURA | PUNO | SAN MARTIN | TACNA | TUMBES | UCAYALI,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,provincia,PROVINCIA,Provincia del siniestro. Redundante con siniestros.csv.,texto,Categoria,182 valores distintos,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,distrito,DISTRITO,Distrito del siniestro. Redundante con siniestros.csv.,texto,Categoria,1086 valores distintos,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,situacion_vehiculo,SITUACIÓN VEHÍCULO,"Situacion del vehiculo tras el hecho: identificado, fugado, etc.",texto,Categoria,ESTACIONADO | FUGADO | IDENTIFICADO,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,estado_modalidad,ESTADO MODALIDAD,Si el vehiculo estaba habilitado para la modalidad de servicio que prestaba.,texto,Categoria,HABILITADO | NO CORRESPONDE | NO HABILITADO,12667,119,0.9,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,modalidad_transporte,MODALIDAD DE TRANSPORTE,"Modalidad de servicio: particular, transporte de personas, carga, etc.",texto,Categoria,AMBULANCIA | AUTO COLECTIVO | CARGA | ESCOLAR | MATERIALES PELIGROSOS | NO CORRESPONDE | OTRO | PARTICULAR | PUBLICO URBANO | REGULAR(INTERPROVINCIAL) | SERENAZGO | SERVICIO ESPECIAL DE PASAJEROS | TAXI | TRABAJADORES | TURISTICO | VEHICULO OFICIAL | VEHICULO POLICIAL,12667,113,0.9,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,elemento_transportado,ELEMENTO TRANSPORTADO,"Que transportaba el vehiculo: personas, carga o mercancias.",texto,Categoria,CARGA Y/O MERCANCÍAS | PERSONAS,12667,3445,27.2,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,ambito_servicio,AMBITO SERVICIO,"Ambito de la autorizacion del servicio: nacional, regional, provincial.",texto,Categoria,DISTRITAL | INTERNACIONAL | NACIONAL | NO SE CONOCE | PROVINCIAL | REGIONAL,12667,3463,27.3,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,posee_seguro,POSEE SEGURO,Si el vehiculo contaba con algun seguro.,texto,Categoria,NO | NO CORRESPONDE | NO ESPECIFICA | SI,12667,2149,17.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,estado_soat,ESTADO SOAT,Vigencia del SOAT al momento del siniestro. Indicador de informalidad.,texto,Categoria,NO APLICA | NO REGISTRA | VENCIDO | VIGENTE,12667,97,0.8,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,tipo_seguro,TIPO SEGURO,"Tipo de seguro: SOAT, CAT u otro.",texto,Categoria,CAT | OTRO | SOAT,12667,5709,45.1,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,compania_seguro,COMPAÑIA SEGURO,Aseguradora emisora de la poliza.,texto,Categoria,26 valores distintos,12667,4780,37.7,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,posee_citv,POSEE CITV,Si el vehiculo contaba con Certificado de Inspeccion Tecnica Vehicular.,texto,Categoria,NO | NO CORRESPONDE | NO ESPECIFICA | SI,12667,2149,17.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,estado_citv,ESTADO CITV,Vigencia del CITV. Indicador del estado mecanico formal del vehiculo.,texto,Categoria,NO APLICA | NO REGISTRA | VENCIDO | VIGENTE,12667,105,0.8,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,vehiculo,VEHÍCULO,Clase de vehiculo segun el Reglamento Nacional de Vehiculos.,texto,Categoria,AUTOMÓVIL | BICICLETA | BICIMOTO | CAMIONETA PANEL | CAMIONETA PICK UP | CAMIONETA RURAL | CAMIÓN | MINIBUS | MOTOCICLETA | MOTOCICLETA ELECTRICA | OTRO | REMOLCADOR | REMOLCADOR-SEMIREMOLQUE | REMOLQUE | SCOOTER | SEMIREMOLQUE | STATION WAGON | TRICICLO MOTORIZADO | TRICICLO NO MOTORIZADO | TRIMOTO CARGA | TRIMOTO PASAJERO | VEHICULO NO IDENTIFICADO | ÓMNIBUS,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,clase_siniestro,TIPO SINIESTRO,Clase del siniestro. Redundante con siniestros.csv.,texto,Categoria,ATROPELLO | ATROPELLO FUGA | CAÍDA DE PASAJERO | CHOQUE | CHOQUE CON OBJETO FIJO | CHOQUE FUGA | DESPISTE | ESPECIAL | FERROVIARIO | INCENDIO | VOLCADURA,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,fecha_siniestro,FECHA,Fecha del siniestro. Redundante con siniestros.csv.,fecha,Fecha ISO 8601 (YYYY-MM-DD),rango 2021-01-01 a 2025-12-30,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,anio,AÑO,Anio del siniestro.,entero,Entero,rango 2021 a 2025,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,mes,MES,"Mes del siniestro, nombre en espanol.",texto,Categoria,ABRIL | AGOSTO | DICIEMBRE | ENERO | FEBRERO | JULIO | JUNIO | MARZO | MAYO | NOVIEMBRE | OCTUBRE | SETIEMBRE,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,dia_semana,DÍA,Dia de la semana del siniestro.,texto,Categoria,DOMINGO | JUEVES | LUNES | MARTES | MIÉRCOLES | SÁBADO | VIERNES,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,hora,HORA,Hora del siniestro.,entero,Entero 0-23,rango 0 a 23,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,cod_carretera,CÓDIGO DE CARRETERA,Codigo de carretera. Redundante con siniestros.csv.,texto,Codigo,1045 valores distintos,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
vehiculos,tipo_via,TIPO DE VÍA,Tipo de via. Redundante con siniestros.csv.,texto,Categoria,ALAMEDA | AUTOPISTA | AVENIDA | CALLE | CARRETERA | DEPARTAMENTAL | FERREO | JIRÓN | OTRO | PASAJE | PLAYA | PUENTE | SIN CLASIFICAR | VIA EXPRESA,12667,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,codigo_siniestro,CÓDIGO SINIESTRO,Siniestro al que pertenece la persona. Llave foranea a siniestros.csv.,texto,Identificador,9106 valores distintos,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,codigo_vehiculo,CÓDIGO VEHÍCULO,Vehiculo asociado a la persona. Llave foranea a vehiculos.csv.,texto,Identificador,12631 valores distintos,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,codigo_persona,CÓDIGO PERSONA,Identificador unico de la persona involucrada. Llave primaria. Formato P-AAAA-MM-N-K-M.,texto,Identificador,25411 valores distintos,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,departamento,DEPARTAMENTO,Departamento del siniestro. Redundante con siniestros.csv.,texto,Categoria,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PASCO | PIURA | PUNO | SAN MARTIN | TACNA | TUMBES | UCAYALI,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,provincia,PROVINCIA,Provincia del siniestro. Redundante con siniestros.csv.,texto,Categoria,182 valores distintos,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,distrito,DISTRITO,Distrito del siniestro. Redundante con siniestros.csv.,texto,Categoria,1086 valores distintos,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,tipo_persona,TIPO PERSONA,"Rol de la persona en el siniestro: conductor, pasajero, peaton, ocupante.",texto,Categoria,CONDUCTOR | CONDUCTOR FUGADO | OCUPANTE | PASAJERO | PEATÓN | SIN CONDUCTOR,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,gravedad,GRAVEDAD,"Desenlace para la persona: fallecido, lesionado o ileso.",texto,Categoria,FALLECIDO | ILESO | LESIONADO | NO SE CONOCE,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,lugar_atencion_lesionado,LUGAR ATENCIÓN LESIONADO,Establecimiento donde se atendio al lesionado. Solo aplica a lesionados.,texto,Categoria,CENTRO DE SALUD PRIVADO | CENTRO DE SALUD PÚBLICO | OTRO,25412,18341,72.2,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,lugar_defuncion,LUGAR DE DEFUNCIÓN,Lugar donde se produjo la muerte. Solo aplica a fallecidos.,texto,Categoria,CAMINO AL CENTRO DE SALUD | EN EL CENTRO DE SALUD | EN EL LUGAR DE LOS HECHOS,25412,15341,60.4,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,situacion_persona,SITUACIÓN DE PERSONA,Si la persona fue identificada por la autoridad.,texto,Categoria,IDENTIFICADO | NO IDENTIFICADO,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,pais_nacionalidad,PAÍS DE NACIONALIDAD,Pais de nacionalidad de la persona.,texto,Categoria,27 valores distintos,25412,3308,13.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,edad,EDAD,Edad de la persona en anios cumplidos.,decimal,Anios,rango 0 a 100,25412,2681,10.6,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,sexo,SEXO,Sexo registrado de la persona.,texto,Categoria,FEMENINO | MASCULINO | NO INDICA,25412,288,1.1,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,posee_licencia,POSEE LICENCIA,Si la persona contaba con licencia de conducir. Solo aplica a conductores.,texto,Categoria,NO | SI,25412,18236,71.8,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,estado_licencia,ESTADO LICENCIA,Vigencia de la licencia de conducir.,texto,Categoria,ANULADA / CONDUCTOR INHABILITADO | CANCELADA | CANCELADA / CONDUCTOR INHABILITADO | CANCELADA / INHABILITADA | CONDUCTOR INHABILITADO | FUGADO | INHABILITADO | LICENCIA CLASE A | NO CONDUCTOR | NO CORRESPONDE | NO ESPECIFICA | NO REGISTRA | OBSERVADA | RETENIDA | SIN DNI IDENTIFICADO | SIN LICENCIA | SUSPENDIDA | VENCIDA | VIGENTE,25412,292,1.1,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,clase_licencia,CLASE_LICENCIA,Clase y categoria de la licencia segun el reglamento del MTC.,texto,Categoria,A I | A II | A II A | A II B | A III | A III A | A III B | A III C | B | B I | B II  C | B II A | B II B | B II C | FUGADO | NO CONDUCTOR | NO CORRESPONDE | NO ESPECIFICA | NO REGISTRA | OTRO | SIN DNI IDENTIFICADO | SIN LICENCIA | b,25412,8,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,sometio_dosaje_cualitativo,¿SE SOMETIÓ A DOSAJE ETÍLICO CUALITATIVO?,Si se practico dosaje etilico cualitativo. Fuertemente subregistrado.,texto,Categoria,NO | SI,25412,3891,15.3,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,resultado_dosaje_cualitativo,RESULTADO DEL DOSAJE ETÍLICO CUALITATIVO,Resultado del dosaje etilico cualitativo. Solo presente si se practico la prueba.,texto,Categoria,NEGATIVO | POSITIVO,25412,21457,84.4,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,sometio_dosaje_cuantitativo,¿SE SOMETIÓ A DOSAJE ETÍLICO CUANTITATIVO?,Si se practico dosaje etilico cuantitativo. El valor en g/L no se publica.,texto,Categoria,NO | SI,25412,4282,16.9,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,vehiculo,VEHÍCULO,Clase del vehiculo asociado a la persona. Redundante con vehiculos.csv.,texto,Categoria,AUTOMÓVIL | BICICLETA | BICIMOTO | CAMIONETA PANEL | CAMIONETA PICK UP | CAMIONETA RURAL | CAMIÓN | MINIBUS | MOTOCICLETA | MOTOCICLETA ELECTRICA | OTRO | REMOLCADOR | REMOLCADOR-SEMIREMOLQUE | REMOLQUE | SCOOTER | SEMIREMOLQUE | STATION WAGON | TRICICLO MOTORIZADO | TRICICLO NO MOTORIZADO | TRIMOTO CARGA | TRIMOTO PASAJERO | VEHICULO NO IDENTIFICADO | ÓMNIBUS,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,fecha_siniestro,FECHA,Fecha del siniestro. Redundante con siniestros.csv.,fecha,Fecha ISO 8601 (YYYY-MM-DD),rango 2021-01-01 a 2025-12-30,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,anio,AÑO,Anio del siniestro.,entero,Entero,rango 2021 a 2025,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
